price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,sqft_above,lat,long,sqft_living15,sqft_lot15,houseage,has_underground,has_renovated
221900,3,1,1180,5650,1,0,1180,47.5112,-122.257,1340,5650,59,0,0
538000,3,2,2570,7242,2,0,2170,47.721,-122.319,1690,7639,63,1,1
180000,2,1,770,10000,1,0,770,47.7379,-122.233,2720,8062,82,0,0
604000,4,3,1960,5000,1,0,1050,47.5208,-122.393,1360,5000,49,1,0
510000,3,2,1680,8080,1,0,1680,47.6168,-122.045,1800,7503,28,0,0
257500,3,2,1715,6819,2,0,1715,47.3097,-122.327,2238,6819,19,0,0
291850,3,1,1060,9711,1,0,1060,47.4095,-122.315,1650,9711,52,0,0
229500,3,1,1780,7470,1,0,1050,47.5123,-122.337,1780,8113,55,1,0
323000,3,2,1890,6560,2,0,1890,47.3684,-122.031,2390,7570,12,0,0
662500,3,2,3560,9796,1,0,1860,47.6007,-122.145,2210,8925,50,1,0
468000,2,1,1160,6000,1,0,860,47.69,-122.292,1330,6000,72,1,0
310000,3,1,1430,19901,1,0,1430,47.7558,-122.229,1780,12697,87,0,0
400000,3,1,1370,9680,1,0,1370,47.6127,-122.045,1370,10208,37,0,0
530000,5,2,1810,4850,1,0,1810,47.67,-122.394,1360,4850,115,0,0
650000,4,3,2950,5000,2,3,1980,47.5714,-122.375,2140,4000,36,1,0
395000,3,2,1890,14040,2,0,1890,47.7277,-121.962,1890,14018,20,0,0
485000,4,1,1600,4300,1,0,1600,47.6648,-122.343,1610,4300,98,0,0
189000,2,1,1200,9850,1,0,1200,47.3089,-122.21,1060,5095,93,0,0
230000,3,1,1250,9774,1,0,1250,47.3343,-122.306,1280,8850,46,0,0
385000,4,1,1620,4980,1,0,860,47.7025,-122.341,1400,4980,67,1,0
285000,5,2,2270,6300,2,0,2270,47.3266,-122.169,2240,7005,19,0,0
252700,2,1,1070,9643,1,0,1070,47.3533,-122.166,1220,8386,29,0,0
329000,3,2,2450,6500,2,0,2450,47.3739,-122.172,2200,6865,29,0,0
233000,3,2,1710,4697,1,0,1710,47.3048,-122.218,1030,4705,73,0,0
937000,3,1,2450,2691,2,0,1750,47.6386,-122.36,1760,3573,99,1,0
667000,3,1,1400,1581,1,0,1400,47.6221,-122.314,1860,3861,105,0,0
438000,3,1,1520,6380,1,0,790,47.695,-122.304,1520,6235,66,1,0
719000,4,2,2570,7173,2,0,2570,47.7073,-122.11,2630,6026,10,0,0
580500,3,2,2320,3980,2,0,2320,47.5391,-122.07,2580,3980,11,0,0
280000,2,1,1190,1265,3,0,1190,47.7274,-122.357,1390,1756,9,0,0
687500,4,1,2330,5000,1,0,1510,47.6823,-122.368,1460,5000,85,1,0
